episode,reward,steps,unique_locations,success
411,90.48170459081433,27,6,Success
412,72.88625359619309,48,7,Success
413,87.40120376493657,35,8,Success
414,73.73526906825538,61,12,Success
415,92.71346613122167,35,9,Success
416,-114.26923535253167,26,4,Collision
417,64.60397754272961,65,12,Success
418,83.98521693810974,48,10,Success
419,96.34761825072425,32,9,Success
420,-120.13706644091745,36,9,Collision
421,96.68969316686672,24,6,Success
422,78.675153071322,42,7,Success
423,91.04427737982746,31,8,Success
424,-110.0464626945295,22,4,Collision
425,81.10573337684056,50,11,Success
426,-111.9260411933498,24,4,Collision
427,46.01816112540838,89,17,Success
428,50.29884714870461,90,20,Success
429,-101.93085026702917,12,2,Collision
430,-116.50717959373789,27,4,Collision
431,78.522261726409,51,10,Success
432,-102.86558329813596,10,2,Collision
433,-106.27360837204645,19,4,Collision
434,97.91080968530153,19,4,Success
435,60.64421661730429,75,16,Success
436,95.13710776379185,25,5,Success
437,80.0880073807439,44,8,Success
438,-103.99131123782902,15,3,Collision
439,-125.0404343312228,39,10,Collision
440,84.59741576645413,41,8,Success
441,61.349472278604225,76,17,Success
442,-113.24694493008559,23,4,Collision
443,95.14245605700435,22,4,Success
444,98.03560646871362,16,5,Success
445,-133.26236112036912,51,11,Collision
446,54.168586303424014,84,19,Success
447,49.25355606039408,86,16,Success
448,-148.41097616497078,72,16,Collision
449,-114.6852119099634,24,4,Collision
450,84.38394274951072,39,7,Success
451,84.7734198351385,43,11,Success
452,84.17983761140647,35,6,Success
453,73.26688748867403,53,10,Success
454,66.01428712115234,62,8,Success
455,76.57165963441852,53,12,Success
456,47.555300937596684,86,16,Success
457,95.93415010769665,32,9,Success
458,78.86159228018323,47,10,Success
459,94.86025188886425,25,5,Success
460,-120.15705377261452,38,10,Collision
461,85.43026017165963,34,6,Success
462,-9.682070746173736,36,5,Success
463,-107.47849724973713,18,3,Collision
464,62.22275901033559,66,10,Success
465,61.11039025632743,74,14,Success
466,82.86007654444549,45,8,Success
467,-103.49254738833574,12,2,Collision
468,-106.77057601760592,15,3,Collision
469,87.39266743694817,38,9,Success
470,103.82653667553423,15,5,Success
471,81.03660551095183,51,11,Success
472,72.63462878419122,66,18,Success
473,90.52549160490054,42,11,Success
474,93.90209712901782,32,8,Success
475,-114.04838231490288,26,4,Collision
476,82.93054365100303,46,10,Success
477,-110.24729910811314,18,2,Collision
478,79.06722678406541,48,10,Success
479,100.04563720412716,17,4,Success
480,90.40731843648906,36,8,Success
481,89.9941414580307,30,5,Success
482,-145.0673878159045,71,16,Collision
483,-131.4542173084949,46,10,Collision
484,-16.354557719484205,42,5,Success
